neo4j92,Neo4j.Driver.Internal.BaseOutLogger.EnumerableToString,neo4j88,neo4j2,neo4j,6,1,1,63,67,64,6,6,6,6,118,11,11,11,1,1,1,1,17,5,5,5,1,1,1,1,11,1,0,0
neo4j93,Neo4j.Driver.Internal.BaseOutLogger.Error,neo4j88,neo4j2,neo4j,7,1,1,21,21,21,67,24,53,40,21,2,2,2,13,4,10,7,2,2,2,2,6,2,4,3,2,1,0,0
neo4j94,Neo4j.Driver.Internal.BaseOutLogger.Info,neo4j88,neo4j2,neo4j,5,1,1,19,19,19,65,22,51,38,19,2,2,2,13,4,10,7,2,2,2,2,6,2,4,3,2,1,0,0
neo4j95,Neo4j.Driver.Internal.BaseOutLogger.Debug,neo4j88,neo4j2,neo4j,5,1,1,17,19,18,65,22,51,38,31,2,2,2,13,4,10,7,3,2,2,2,6,2,4,3,3,1,0,0
neo4j96,Neo4j.Driver.Internal.BaseOutLogger.Trace,neo4j88,neo4j2,neo4j,5,1,1,17,19,17,65,22,51,38,43,2,2,2,13,4,10,7,4,2,2,2,6,2,4,3,4,1,0,0
neo4j97,Neo4j.Driver.Internal.BaseOutLogger.Dispose,neo4j88,neo4j2,neo4j,5,1,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
neo4j99,Neo4j.Driver.Internal.Driver.Session,neo4j98,neo4j2,neo4j,5,1,1,5,5,5,27,10,14,12,5,1,1,1,6,2,3,2,1,1,1,1,4,2,2,2,1,1,0,1
neo4j100,Neo4j.Driver.Internal.Driver.Close,neo4j98,neo4j2,neo4j,8,2,1,14,39,22,9,8,9,8,52,3,4,3,3,2,3,2,6,2,2,2,2,1,2,1,4,1,0,0
neo4j101,Neo4j.Driver.Internal.Driver.CloseAsync,neo4j98,neo4j2,neo4j,10,2,1,42,42,42,23,10,22,14,42,4,4,4,4,2,3,2,4,2,2,2,3,1,2,1,2,1,0,0
neo4j102,Neo4j.Driver.Internal.Driver.Dispose,neo4j98,neo4j2,neo4j,6,1,1,6,6,6,15,6,15,11,6,1,1,1,4,1,4,2,1,1,1,1,3,1,3,2,1,1,0,1
neo4j103,Neo4j.Driver.Internal.Driver.ThrowDriverClosedException,neo4j98,neo4j2,neo4j,5,1,1,10,10,10,5,5,5,5,10,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,0,0
neo4j104,Neo4j.Driver.Internal.Driver.GetMetrics,neo4j98,neo4j2,neo4j,9,2,1,30,60,48,9,9,9,9,245,3,5,3,2,2,2,2,13,2,2,2,1,1,1,1,7,1,0,0
neo4j115,Neo4j.Driver.Internal.IConnectionPool.Deactivate,neo4j114,neo4j2,neo4j,1,1,1,25,37,32,1,1,1,1,133,4,6,5,1,1,1,1,13,3,3,3,1,1,1,1,9,1,0,0
neo4j116,Neo4j.Driver.Internal.IConnectionPool.DeactivateAsync,neo4j114,neo4j2,neo4j,1,1,1,10,17,13,1,1,1,1,26,3,5,4,1,1,1,1,7,2,2,2,1,1,1,1,3,1,0,0
neo4j117,Neo4j.Driver.Internal.IConnectionPool.Activate,neo4j114,neo4j2,neo4j,1,1,1,7,7,7,1,1,1,1,7,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,0,0
